VALUE,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME
1979,13240,66,6613240,Northern Atlantic Coastal Plain Hardwood Forest
1980,13440,66,6613440,Boreal Jack Pine-Black Spruce Forest
1981,13540,66,6613540,Northeastern Interior Pine Barrens
1982,13620,66,6613620,Laurentian-Acadian Northern Pine(-Oak) Forest
1983,13660,66,6613660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest
1984,13690,66,6613690,Central Appalachian Dry Oak-Pine Forest
1985,13700,66,6613700,Appalachian (Hemlock-)Northern Hardwood Forest
1986,13730,66,6613730,Acadian Low-Elevation Spruce-Fir-Hardwood Forest
1987,13740,66,6613740,Acadian-Appalachian Montane Spruce-Fir Forest
1988,13770,66,6613770,Central Appalachian Pine-Oak Rocky Woodland
1989,13860,66,6613860,Acadian-Appalachian Alpine Tundra
1990,13890,66,6613890,Acadian-Appalachian Subalpine Woodland and Heath-Krummholz
1991,14360,66,6614360,Northern Atlantic Coastal Plain Dune and Swale
1992,14720,66,6614720,Central Interior and Appalachian Riparian Systems
1993,14750,66,6614750,Laurentian-Acadian Floodplain Systems
1994,14770,66,6614770,Boreal Acidic Peatland Systems
1995,14790,66,6614790,Central Interior and Appalachian Swamp Systems
1996,14800,66,6614800,Gulf and Atlantic Coastal Plain Swamp Systems
1997,14900,66,6614900,Gulf and Atlantic Coastal Plain Tidal Marsh Systems
1998,14940,66,6614940,Laurentian-Acadian Shrub-Herbaceous Wetland Systems
1999,15260,66,6615260,Laurentian-Acadian Swamp Systems
2000,13050,53,5313050,Southern Interior Low Plateau Dry-Mesic Oak Forest
2001,13090,53,5313090,Southern Appalachian Northern Hardwood Forest
2002,13150,53,5313150,Southern Appalachian Oak Forest
2003,13170,53,5313170,Allegheny-Cumberland Dry Oak Forest and Woodland
2004,13180,53,5313180,Southern and Central Appalachian Cove Forest
2005,13210,53,5313210,South-Central Interior Mesophytic Forest
2006,13520,53,5313520,Southern Appalachian Montane Pine Forest and Woodland
2007,13530,53,5313530,Southern Appalachian Low-Elevation Pine Forest
2008,13630,53,5313630,Central Interior Highlands Dry Acidic Glade and Barrens
2009,13700,53,5313700,Appalachian (Hemlock-)Northern Hardwood Forest
2010,13760,53,5313760,Southern Ridge and Valley/Cumberland Dry Calcareous Forest
2011,14010,53,5314010,Central Interior Highlands Calcareous Glade and Barrens
2012,14710,53,5314710,Central Interior and Appalachian Floodplain Systems
